ticker,entry_date,horizon,status,sentiment_score,sentiment_bucket,pnl_pct,sizing_multiplier,adjusted_pnl,is_win
TRENT.NS,2026-05-12,BTST_1d,EXPIRED_LOSS,71,RED_ALERT,-0.73,0.7,-0.511,False
DLF.NS,2026-05-12,BTST_1d,EXPIRED_LOSS,71,RED_ALERT,-0.65,0.7,-0.455,False
IOC.NS,2026-05-12,Swing_3d,EXPIRED_LOSS,71,RED_ALERT,-0.88,0.7,-0.616,False
IRFC.NS,2026-05-12,BTST_1d,EXPIRED_LOSS,71,RED_ALERT,-0.4,0.7,-0.28,False
FACT.NS,2026-05-12,BTST_1d,EXPIRED_LOSS,71,RED_ALERT,-0.79,0.7,-0.553,False
TRIDENT.NS,2026-05-12,BTST_1d,EXPIRED_LOSS,71,RED_ALERT,-1.41,0.7,-0.987,False
ESCORTS.NS,2026-05-12,Swing_3d,EXPIRED_WIN,71,RED_ALERT,2.22,0.7,1.554,True
MUTHOOTFIN.NS,2026-05-12,BTST_1d,EXPIRED_WIN,71,RED_ALERT,0.85,0.7,0.595,True
OIL.NS,2026-05-12,BTST_1d,EXPIRED_WIN,71,RED_ALERT,0.43,0.7,0.301,True
SUNDRMFAST.NS,2026-05-12,BTST_1d,EXPIRED_WIN,71,RED_ALERT,2.55,0.7,1.785,True
VEDL.NS,2026-05-12,BTST_1d,EXPIRED_WIN,71,RED_ALERT,2.62,0.7,1.834,True
SBIN.NS,2026-05-12,Swing_3d,LOST,71,RED_ALERT,-2.0,0.7,-1.4,False
BRITANNIA.NS,2026-05-12,Swing_3d,LOST,71,RED_ALERT,-0.91,0.7,-0.637,False
HAVELLS.NS,2026-05-12,Swing_3d,LOST,71,RED_ALERT,-1.74,0.7,-1.218,False
JIOFIN.NS,2026-05-12,BTST_1d,LOST,71,RED_ALERT,-2.5,0.7,-1.75,False
ASHOKLEY.NS,2026-05-12,Swing_3d,LOST,71,RED_ALERT,-2.1,0.7,-1.47,False
BATAINDIA.NS,2026-05-12,Swing_3d,LOST,71,RED_ALERT,-0.87,0.7,-0.609,False
CDSL.NS,2026-05-12,Swing_3d,LOST,71,RED_ALERT,-1.7,0.7,-1.19,False
GUJGASLTD.NS,2026-05-12,BTST_1d,LOST,71,RED_ALERT,-2.5,0.7,-1.75,False
HONAUT.NS,2026-05-12,Swing_3d,LOST,71,RED_ALERT,-1.23,0.7,-0.861,False
JUBLFOOD.NS,2026-05-12,Swing_3d,LOST,71,RED_ALERT,-2.0,0.7,-1.4,False
WHIRLPOOL.NS,2026-05-12,BTST_1d,LOST,71,RED_ALERT,-2.5,0.7,-1.75,False
3MINDIA.NS,2026-05-12,Swing_3d,LOST,71,RED_ALERT,-1.94,0.7,-1.358,False
SYNGENE.NS,2026-05-11,Swing_3d,EXPIRED_LOSS,60,YELLOW_ALERT,-0.95,0.85,-0.8075,False
POLYCAB.NS,2026-05-11,BTST_1d,EXPIRED_WIN,60,YELLOW_ALERT,1.07,0.85,0.9095,True
